"filename", "language", "Markdown", "C++", "Makefile", "CMake", "comment", "blank", "total"
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Rect.hpp", "C++", 0, 35, 0, 0, 215, 25, 275
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Rect.inl", "C++", 0, 100, 0, 0, 40, 32, 172
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\RectangleShape.hpp", "C++", 0, 19, 0, 0, 97, 17, 133
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\RenderStates.hpp", "C++", 0, 27, 0, 0, 129, 19, 175
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\RenderTarget.hpp", "C++", 0, 71, 0, 0, 402, 46, 519
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\RenderTexture.hpp", "C++", 0, 36, 0, 0, 270, 29, 335
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\RenderWindow.hpp", "C++", 0, 28, 0, 0, 251, 24, 303
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Shader.hpp", "C++", 0, 89, 0, 0, 718, 69, 876
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Shape.hpp", "C++", 0, 49, 0, 0, 271, 36, 356
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Sprite.hpp", "C++", 0, 34, 0, 0, 219, 27, 280
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\StencilMode.hpp", "C++", 0, 44, 0, 0, 196, 17, 257
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Text.hpp", "C++", 0, 69, 0, 0, 405, 40, 514
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Texture.hpp", "C++", 0, 70, 0, 0, 617, 47, 734
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Transform.hpp", "C++", 0, 40, 0, 0, 423, 35, 498
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Transform.inl", "C++", 0, 121, 0, 0, 68, 48, 237
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Transformable.hpp", "C++", 0, 41, 0, 0, 357, 32, 430
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Vertex.hpp", "C++", 0, 21, 0, 0, 112, 16, 149
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\VertexArray.hpp", "C++", 0, 32, 0, 0, 167, 25, 224
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\VertexBuffer.hpp", "C++", 0, 49, 0, 0, 324, 36, 409
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\View.hpp", "C++", 0, 43, 0, 0, 269, 32, 344
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Main.hpp", "C++", 0, 7, 0, 0, 28, 9, 44
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network.hpp", "C++", 0, 14, 0, 0, 33, 7, 54
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\Export.hpp", "C++", 0, 9, 0, 0, 29, 11, 49
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\Ftp.hpp", "C++", 0, 119, 0, 0, 439, 59, 617
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\Http.hpp", "C++", 0, 101, 0, 0, 333, 49, 483
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\IpAddress.hpp", "C++", 0, 41, 0, 0, 256, 32, 329
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\Packet.hpp", "C++", 0, 72, 0, 0, 412, 62, 546
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\Socket.hpp", "C++", 0, 47, 0, 0, 146, 27, 220
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\SocketHandle.hpp", "C++", 0, 15, 0, 0, 30, 13, 58
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\SocketSelector.hpp", "C++", 0, 25, 0, 0, 216, 23, 264
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\TcpListener.hpp", "C++", 0, 19, 0, 0, 135, 17, 171
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\TcpSocket.hpp", "C++", 0, 37, 0, 0, 253, 27, 317
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\UdpSocket.hpp", "C++", 0, 29, 0, 0, 242, 22, 293
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\OpenGL.hpp", "C++", 0, 27, 0, 0, 32, 20, 79
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System.hpp", "C++", 0, 21, 0, 0, 34, 6, 61
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Angle.hpp", "C++", 0, 48, 0, 0, 422, 42, 512
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Angle.inl", "C++", 0, 144, 0, 0, 61, 70, 275
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Clock.hpp", "C++", 0, 17, 0, 0, 86, 15, 118
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Err.hpp", "C++", 0, 9, 0, 0, 62, 10, 81
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Exception.hpp", "C++", 0, 11, 0, 0, 30, 6, 47
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Export.hpp", "C++", 0, 9, 0, 0, 29, 11, 49
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\FileInputStream.hpp", "C++", 0, 38, 0, 0, 113, 19, 170
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\InputStream.hpp", "C++", 0, 17, 0, 0, 121, 15, 153
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Lock.hpp", "C++", 0, 17, 0, 0, 108, 15, 140
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\MemoryInputStream.hpp", "C++", 0, 24, 0, 0, 107, 18, 149
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Mutex.hpp", "C++", 0, 22, 0, 0, 110, 17, 149
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\NativeActivity.hpp", "C++", 0, 12, 0, 0, 39, 12, 63
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\NonCopyable.hpp", "C++", 0, 16, 0, 0, 99, 15, 130
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Sleep.hpp", "C++", 0, 9, 0, 0, 36, 8, 53
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\String.hpp", "C++", 0, 72, 0, 0, 536, 62, 670
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\String.inl", "C++", 0, 21, 0, 0, 26, 7, 54
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\SuspendAwareClock.hpp", "C++", 0, 15, 0, 0, 52, 10, 77
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Thread.hpp", "C++", 0, 34, 0, 0, 227, 22, 283
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Thread.inl", "C++", 0, 49, 0, 0, 30, 12, 91
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\ThreadLocal.hpp", "C++", 0, 23, 0, 0, 64, 17, 104
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\ThreadLocalPtr.hpp", "C++", 0, 19, 0, 0, 123, 17, 159
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\ThreadLocalPtr.inl", "C++", 0, 35, 0, 0, 29, 14, 78
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Time.hpp", "C++", 0, 50, 0, 0, 392, 47, 489
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Time.inl", "C++", 0, 147, 0, 0, 64, 74, 285
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Utf.hpp", "C++", 0, 118, 0, 0, 588, 58, 764
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Utf.inl", "C++", 0, 482, 0, 0, 129, 142, 753
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Vector2.hpp", "C++", 0, 45, 0, 0, 230, 27, 302
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Vector2.inl", "C++", 0, 87, 0, 0, 38, 37, 162
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Vector3.hpp", "C++", 0, 45, 0, 0, 231, 27, 303
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\System\Vector3.inl", "C++", 0, 94, 0, 0, 38, 37, 169
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window.hpp", "C++", 0, 18, 0, 0, 33, 8, 59
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Clipboard.hpp", "C++", 0, 14, 0, 0, 94, 12, 120
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Context.hpp", "C++", 0, 30, 0, 0, 144, 22, 196
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\ContextSettings.hpp", "C++", 0, 33, 0, 0, 106, 11, 150
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Cursor.hpp", "C++", 0, 51, 0, 0, 170, 21, 242
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Event.hpp", "C++", 0, 128, 0, 0, 132, 26, 286
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Event.inl", "C++", 0, 30, 0, 0, 37, 12, 79
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Export.hpp", "C++", 0, 9, 0, 0, 29, 11, 49
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\GlResource.hpp", "C++", 0, 23, 0, 0, 70, 17, 110
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Joystick.hpp", "C++", 0, 43, 0, 0, 164, 21, 228
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Keyboard.hpp", "C++", 0, 293, 0, 0, 173, 26, 492
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Mouse.hpp", "C++", 0, 32, 0, 0, 130, 19, 181
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Sensor.hpp", "C++", 0, 26, 0, 0, 110, 15, 151
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Touch.hpp", "C++", 0, 16, 0, 0, 108, 14, 138
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\VideoMode.hpp", "C++", 0, 26, 0, 0, 181, 22, 229
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Vulkan.hpp", "C++", 0, 26, 0, 0, 67, 23, 116
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\Window.hpp", "C++", 0, 38, 0, 0, 287, 30, 355
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\WindowBase.hpp", "C++", 0, 62, 0, 0, 409, 48, 519
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\WindowBase.inl", "C++", 0, 34, 0, 0, 30, 12, 76
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\WindowEnums.hpp", "C++", 0, 20, 0, 0, 33, 8, 61
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\WindowHandle.hpp", "C++", 0, 23, 0, 0, 58, 21, 102
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Window\WindowStyle.hpp", "C++", 0, 18, 0, 0, 28, 8, 54
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\FLAC\flac-config-version.cmake", "CMake", 0, 0, 0, 38, 0, 6, 44
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\FLAC\flac-config.cmake", "CMake", 0, 0, 0, 32, 0, 10, 42
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\FLAC\targets-debug.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\FLAC\targets-release.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\FLAC\targets.cmake", "CMake", 0, 0, 0, 111, 0, 14, 125
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\Ogg\OggConfig.cmake", "CMake", 0, 0, 0, 31, 0, 10, 41
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\Ogg\OggConfigVersion.cmake", "CMake", 0, 0, 0, 56, 0, 10, 66
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\Ogg\OggTargets-debug.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\Ogg\OggTargets-release.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\Ogg\OggTargets.cmake", "CMake", 0, 0, 0, 94, 0, 13, 107
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\FindDRM.cmake", "CMake", 0, 0, 0, 19, 0, 5, 24
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\FindEGL.cmake", "CMake", 0, 0, 0, 16, 0, 4, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\FindFLAC.cmake", "CMake", 0, 0, 0, 21, 0, 6, 27
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\FindFreetype.cmake", "CMake", 0, 0, 0, 150, 0, 14, 164
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\FindGBM.cmake", "CMake", 0, 0, 0, 19, 0, 5, 24
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\FindGLES.cmake", "CMake", 0, 0, 0, 16, 0, 4, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\FindUDev.cmake", "CMake", 0, 0, 0, 54, 0, 8, 62
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\FindVorbis.cmake", "CMake", 0, 0, 0, 61, 0, 9, 70
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLAudioDependencies.cmake", "CMake", 0, 0, 0, 34, 0, 8, 42
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLAudioSharedTargets-debug.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLAudioSharedTargets-release.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLAudioSharedTargets.cmake", "CMake", 0, 0, 0, 111, 0, 14, 125
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLAudioStaticTargets-debug.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLAudioStaticTargets-release.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLAudioStaticTargets.cmake", "CMake", 0, 0, 0, 112, 0, 14, 126
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLConfig.cmake", "CMake", 0, 0, 0, 138, 0, 11, 149
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLConfigDependencies.cmake", "CMake", 0, 0, 0, 80, 0, 13, 93
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLConfigVersion.cmake", "CMake", 0, 0, 0, 56, 0, 10, 66
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLGraphicsDependencies.cmake", "CMake", 0, 0, 0, 15, 0, 6, 21
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLGraphicsSharedTargets-debug.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLGraphicsSharedTargets-release.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLGraphicsSharedTargets.cmake", "CMake", 0, 0, 0, 111, 0, 14, 125
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLGraphicsStaticTargets-debug.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLGraphicsStaticTargets-release.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLGraphicsStaticTargets.cmake", "CMake", 0, 0, 0, 112, 0, 14, 126
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\lib\cmake\SFML\SFMLMainSharedTargets-debug.cmake", "CMake", 0, 0, 0, 15, 0, 5, 20
